uptime,temperature,humidity,aqi,winp,wind,weather,rtu1,rtu1_uptime,rtu2,rtu2_uptime,rtu3,rtu3_uptime,rtu4,rtu4_uptime
1,15,1,36,2级,东北风,雨,0,2019/4/1 0:30,28,2019/4/1 0:30,41,2019/4/1 0:30,24,2019/4/1 0:30
2,15,1,30,3级,东北风,雨,0,2019/4/1 0:30,28,2019/4/1 0:30,41,2019/4/1 0:30,24,2019/4/1 0:30
3,15,1,30,3级,东北风,雨,0,2019/4/1 1:15,29,2019/4/1 1:15,42,2019/4/1 1:15,24,2019/4/1 1:15
4,15,1,32,4级,东北风,雨,0,2019/4/1 2:01,29,2019/4/1 1:15,43,2019/4/1 2:01,24,2019/4/1 2:01
5,15,1,32,2级,东北风,雨,0,2019/4/1 2:01,32,2019/4/1 2:16,43,2019/4/1 2:01,24,2019/4/1 2:01
6,15,1,34,3级,东北风,阴,0,2019/4/1 2:45,40,2019/4/1 2:45,50,2019/4/1 2:45,25,2019/4/1 2:45
7,15,1,34,3级,东北风,雨,0,2019/4/1 2:45,40,2019/4/1 2:45,50,2019/4/1 2:45,25,2019/4/1 2:45
8,14,1,33,2级,东南风,雨,0,2019/4/1 3:30,12,2019/4/1 3:30,50,2019/4/1 3:30,25,2019/4/1 3:30
9,15,1,33,2级,东北风,雨,0,2019/4/1 4:15,12,2019/4/1 4:15,50,2019/4/1 4:15,26,2019/4/1 4:15
10,14,1,26,2级,东北风,雨,0,2019/4/1 5:01,11,2019/4/1 5:01,53,2019/4/1 5:01,25,2019/4/1 5:01
11,14,1,26,2级,东北风,雨,0,2019/4/1 5:01,11,2019/4/1 5:01,53,2019/4/1 5:01,25,2019/4/1 5:01
12,14,1,23,2级,东北风,雨,0,2019/4/1 5:45,11,2019/4/1 5:45,52,2019/4/1 5:45,25,2019/4/1 5:45
13,14,1,23,1级,东北风,雨,0,2019/4/1 5:45,11,2019/4/1 5:45,52,2019/4/1 5:45,25,2019/4/1 5:45
14,14,1,22,0级,无持续风向,阴,0,2019/4/1 6:30,11,2019/4/1 6:30,0,2019/4/1 6:46,25,2019/4/1 6:31
15,14,1,22,2级,东风,阴,0,2019/4/1 7:15,0,2019/4/1 7:15,0,2019/4/1 7:15,0,2019/4/1 7:15
16,14,1,25,2级,东北风,阴,0,2019/4/1 8:00,0,2019/4/1 8:00,0,2019/4/1 8:00,0,2019/4/1 8:00
17,14,1,25,0级,无持续风向,阴,0,2019/4/1 8:00,0,2019/4/1 8:00,0,2019/4/1 8:00,0,2019/4/1 8:00
18,15,1,25,0级,无持续风向,阴,0,2019/4/1 8:45,0,2019/4/1 8:45,0,2019/4/1 9:01,0,2019/4/1 8:45
19,15,1,25,0级,无持续风向,阴,0,2019/4/1 9:30,0,2019/4/1 9:30,0,2019/4/1 9:01,0,2019/4/1 9:30
20,16,1,30,1级,东南风,阴,0,2019/4/1 9:30,0,2019/4/1 9:30,0,2019/4/1 9:30,0,2019/4/1 9:30
21,16,0.95,30,0级,无持续风向,阴,0,2019/4/1 10:15,0,2019/4/1 10:15,0,2019/4/1 10:15,0,2019/4/1 10:15
22,17,0.92,33,2级,东北风,阴,0,2019/4/1 11:00,0,2019/4/1 11:00,0,2019/4/1 11:00,0,2019/4/1 11:00
23,18,0.84,33,1级,东北风,阴,0,2019/4/1 11:00,0,2019/4/1 11:00,0,2019/4/1 11:00,0,2019/4/1 11:00
24,17,0.88,37,0级,无持续风向,阴,0,2019/4/1 11:45,0,2019/4/1 11:45,0,2019/4/1 12:01,0,2019/4/1 11:45
25,17,0.88,37,0级,无持续风向,阴,0,2019/4/1 12:30,0,2019/4/1 12:30,0,2019/4/1 12:01,0,2019/4/1 12:30
